id,pregunta,a,b,c,d,correcta,OA,PAES
educacion_ciudadana-01,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 1?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-02,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 2?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-03,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 3?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-04,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 4?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-05,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 5?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-06,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 6?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-07,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 7?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-08,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 8?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-09,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 9?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
educacion_ciudadana-10,"Según la Constitución, ¿qué principio se relaciona directamente con la situación 10?",Soberanía popular,Centralismo absoluto,Privación permanente de derechos,Censura previa,a,Participación y derechos,Educación Ciudadana
