id,pregunta,a,b,c,d,correcta,OA,PAES
lenguaje-01,"En el texto, ¿cuál es la idea central del párrafo 1?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-02,"En el texto, ¿cuál es la idea central del párrafo 2?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-03,"En el texto, ¿cuál es la idea central del párrafo 3?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-04,"En el texto, ¿cuál es la idea central del párrafo 4?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-05,"En el texto, ¿cuál es la idea central del párrafo 5?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-06,"En el texto, ¿cuál es la idea central del párrafo 6?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-07,"En el texto, ¿cuál es la idea central del párrafo 7?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-08,"En el texto, ¿cuál es la idea central del párrafo 8?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-09,"En el texto, ¿cuál es la idea central del párrafo 9?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
lenguaje-10,"En el texto, ¿cuál es la idea central del párrafo 10?",Un ejemplo específico,La tesis principal,Una analogía secundaria,Un dato irrelevante,b,Comprensión e interpretación de textos,Competencia Lectora
